k,identified correctly
5,100.0%
10,97.77777777777777%
15,100.0%
20,97.77777777777777%
25,97.77777777777777%
30,97.77777777777777%
35,97.77777777777777%
40,93.33333333333333%
45,93.33333333333333%
50,88.88888888888889%
55,88.88888888888889%
60,91.11111111111111%
65,91.11111111111111%
70,66.66666666666666%
75,64.44444444444444%
80,33.33333333333333%
85,33.33333333333333%
90,33.33333333333333%
95,33.33333333333333%
100,33.33333333333333%
105,33.33333333333333%
